# id	album	image	status
0	Flowers	merry_mexico0097.tif	N
1	Flowers	pippin0164.tif	N
2	Flowers	merry0192.tif	N
3	Flowers	merry_flor0006.tif	Y
4	Flowers	merry0059.tif	N
5	Flowers	merry_mexico0244.tif	N
6	Flowers	pippin_Peel049.tif	Y
7	Flowers	pippin0116.tif	N
8	Flowers	pippin_Peel010.tif	N
9	Flowers	pippin_Peel040.tif	N
10	Flowers	pippin_Peel053.tif	Y
11	Flowers	merry_flor0008.tif	N
12	Flowers	pippin_Peel050.tif	N
13	Flowers	pippin0266a.tif	N
14	Flowers	pippin0162.tif	N
15	Flowers	pippin0258.tif	N
16	Flowers	pippin0211.tif	N
17	Flowers	pippin_park0056.tif	N
18	Flowers	merry_flor0009.tif	N
19	Flowers	pippin_jtalon0023.tif	N
20	Flowers	pippin_Mex07_019.tif	Y
21	Flowers	merry_mexico0229.tif	N
22	Flowers	merry_mexico0133.tif	N
23	Flowers	pippin0111.tif	N
24	Flowers	pippin_jamaica0260.tif	N
25	Flowers	pippin_Mex07_014.tif	Y
26	Flowers	pippin0161.tif	Y
27	Flowers	pippin_summer0006.tif	N
28	Flowers	pippin_jtalon0024.tif	N
29	Flowers	merry_mexico0094.tif	N
30	Flowers	merry_florida0027.tif	N
31	Flowers	pippin0165.tif	N
32	Flowers	pippin_jamaica0236.tif	N
33	Flowers	pippin_summer0007.tif	N
34	Flowers	merry_mexico0105.tif	N
35	Flowers	pippin0163.tif	N
36	Flowers	pippin_Peel052.tif	N
37	Flowers	merry_flor0005.tif	N
38	Flowers	pippin0253.tif	N
39	Flowers	pippin_Mex07_035.tif	N
40	Flowers	pippin_park0053.tif	N
41	Flowers	pippin0270.tif	N
42	Flowers	merry_mexico0231.tif	N
43	Flowers	merry0060.tif	N
44	Flowers	pippin0113.tif	N
45	Flowers	pippin_jtalon0025.tif	N
46	Flowers	pippin_jamaica0237.tif	N
47	Flowers	pippin_summer0008.tif	N
48	Flowers	pippin_jamaica0230.tif	N
49	Flowers	merry_flor0001.tif	Y
50	Flowers	merry_florida0034.tif	N
51	Flowers	merry_flor0004.tif	N
52	Flowers	pippin_jamaica0235.tif	N
53	Flowers	merry_mexico0132.tif	N
54	Flowers	pippin_jamaica0238.tif	N
55	Flowers	pippin0264a.tif	N
56	Flowers	pippin0265a.tif	N
57	Flowers	pippin_park0057.tif	N
58	Flowers	pippin0285.tif	N
59	Flowers	pippin0110.tif	N
60	Flowers	pippin_Peel068.tif	N
61	Flowers	merry_flor0003.tif	N
62	Flowers	pippin_Mex07_013.tif	Y
63	Flowers	pippin_Peel064.tif	N
64	Flowers	pippin0242.tif	Y
65	Flowers	pippin0269.tif	N
66	Flowers	MERRY0013.tif	N
67	Flowers	pippin0172.tif	Y
68	Flowers	pippin_summer0004.tif	N
69	Flowers	merry_mexico0083.tif	N
70	Flowers	merry_mexico0096.tif	N
71	Flowers	merry_florida0006.tif	N
72	Flowers	merry_florida0005.tif	N
73	Flowers	merry_mexico0106.tif	N
74	Flowers	pippin0112.tif	N
75	Flowers	merry0066.tif	N
76	Flowers	pippin_park0025.tif	N
77	Flowers	pippin0115.tif	N
78	Flowers	merry_florida0004.tif	N
79	Flowers	pippin_summer0005.tif	N
80	Flowers	pippin0119.tif	N
81	Flowers	pippin_Mex07_034.tif	N
82	Flowers	pippin_jtalon0027.tif	Y
83	Flowers	merry_florida0026.tif	N
84	Flowers	merry_mexico0228.tif	N
85	Flowers	pippin_Mex07_010.tif	N
86	Flowers	pippin0159.tif	N
87	Flowers	merry_mpark0010.tif	N
88	Flowers	merry_flor0013.tif	N
89	Flowers	merry_florida0007.tif	N
90	Flowers	merry_florida0003.tif	N
91	Flowers	pippin0114.tif	N
92	Flowers	pippin0126.tif	Y
93	Flowers	merry_mpark0014.tif	N
94	Flowers	pippin_jtalon0026.tif	N
95	Flowers	pippin0268.tif	N
96	Flowers	pippin_Peel041.tif	N
97	ManMade	Merry_0065_Lasalle.tif	N
98	ManMade	pippin_city13.tif	N
99	ManMade	Merry_0050_Lasalle.tif	N
100	ManMade	pippin_city43.tif	N
101	ManMade	pippin_jtalon0010.tif	Y
102	ManMade	pippin_city57.tif	Y
103	ManMade	pippin0252.tif	N
104	ManMade	Merry_0014_Lasalle.tif	N
105	ManMade	merry_mpark0030.tif	N
106	ManMade	pippin0240.tif	N
107	ManMade	pippin_city5.tif	N
108	ManMade	Merry_0049_Lasalle.tif	Y
109	ManMade	pippin0246.tif	N
110	ManMade	pippin0249.tif	N
111	ManMade	Merry_0066_Lasalle.tif	N
112	ManMade	pippin_city52.tif	N
113	ManMade	pippin_Peel046.tif	N
114	ManMade	pippin_city68.tif	N
115	ManMade	Merry_0045_Lasalle.tif	Y
116	ManMade	merry_mtl07_028.tif	N
117	ManMade	pippin_Peel002.tif	Y
118	ManMade	merry_winter0023.tif	N
119	ManMade	pippin_Peel038.tif	N
120	ManMade	pippin_Peel070.tif	N
121	ManMade	Merry_0061_Lasalle.tif	N
122	ManMade	pippin_Peel025.tif	Y
123	ManMade	Merry_0004_Lasalle.tif	N
124	ManMade	pippin_city25.tif	N
125	ManMade	pippin_Peel106.tif	Y
126	ManMade	pippin0241.tif	Y
127	ManMade	pippin_city55.tif	N
128	ManMade	pippin_city17.tif	N
129	ManMade	Merry_0059_Lasalle.tif	Y
130	ManMade	pippin_Peel091.tif	N
131	ManMade	pippin_city1.tif	Y
132	ManMade	pippin_city60.tif	N
133	ManMade	merry_mexico0080.tif	N
134	ManMade	pippin_city38.tif	N
